Number of reviews,Last Review Date,Review Scores Rating,Review Scores Accuracy,Review Scores Cleanliness,Review Scores Checkin,Review Scores Communication,Review Scores Location,Review Scores Value,Reviews per month
2,2012-06-15,80,8,10,8,7,10,8,0.24
2,2003-12-16,90,10,8,10,10,10,9,0.27
16,2007-09-16,85,9,8,9,9,9,9,1.34
18,2/26/16,89,9,9,9,9,10,9,0.61
2,11/21/15,90,7,8,7,8,9,8,0.11
3,2009-09-16,93,10,9,10,10,10,10,0.41
1,10/22/16,60,6,6,6,10,8,6,0.22
6,2003-06-16,97,10,10,10,10,10,10,0.63
4,2008-02-16,95,10,10,10,10,10,10,4
6,7/23/16,83,8,8,8,8,8,8,0.82
10,7/18/16,85,9,8,10,10,9,9,0.41
56,2008-02-16,96,9,9,10,10,10,9,3.52
1,2007-04-15,60,10,10,10,8,6,8,0.07
4,7/18/16,95,10,10,10,10,10,10,1.07
35,7/23/16,85,8,9,9,9,10,8,2.96
36,5/17/16,86,8,9,9,9,10,9,1.95
3,11/28/15,80,7,7,7,9,9,7,0.25
3,12/27/15,100,10,9,10,10,10,10,0.24
3,4/13/16,93,7,9,10,9,9,9,0.34
2,2001-05-17,100,10,10,10,10,10,10,0.83
10,9/24/16,80,9,7,8,9,8,8,0.75
3,2008-01-15,80,9,7,8,8,8,8,0.15
3,7/17/16,80,9,9,9,9,8,9,1.76
2,2002-12-16,40,4,5,6,6,5,5,0.2
12,7/19/16,82,8,8,9,8,9,9,2.32
1,2010-08-15,100,10,10,10,10,10,10,0.1
70,7/23/16,87,9,9,9,9,9,9,2.77
15,6/17/16,96,10,10,10,10,9,10,2.05
1,2001-03-15,80,8,6,8,10,10,8,0.04
3,9/21/15,100,10,10,10,10,10,10,0.25
76,2008-03-16,84,9,9,9,9,9,8,5.79
6,2002-12-16,72,6,7,8,8,9,8,0.31
36,2007-01-16,94,9,9,10,10,10,9,3.17
1,2001-02-16,80,8,6,10,8,8,6,0.14
17,2006-03-16,96,9,9,10,10,10,9,2.28
4,2007-05-16,100,10,10,10,10,10,10,0.62
3,6/13/16,93,9,10,10,10,10,10,0.89
31,2008-03-16,92,9,9,10,10,10,9,5.2
38,7/18/16,87,9,9,9,9,10,9,2.95
18,6/27/16,77,8,8,8,8,9,8,0.82
19,2007-09-16,92,9,9,10,9,9,9,1.01
5,2006-04-16,96,9,9,10,9,10,10,0.93
20,7/28/16,87,8,9,9,9,9,9,1.74
1,3/25/16,100,10,10,10,10,10,10,0.22
8,2001-03-17,78,10,7,10,10,10,9,1.03
45,7/26/16,92,10,10,10,10,10,9,3.99
1,2005-07-16,80,6,8,8,8,10,10,0.32
16,2006-11-16,90,9,10,9,10,10,9,1.09
5,7/23/16,92,9,10,9,10,10,9,0.46
2,2001-02-16,100,10,10,10,10,10,10,0.19
2,4/25/16,80,7,8,9,9,10,8,0.54
65,3/24/16,89,10,9,9,9,9,9,2.49
12,2008-05-16,90,9,8,10,10,10,10,2.37
54,7/31/16,83,8,8,9,9,10,9,2.27
4,1/26/16,70,9,7,8,9,10,7,0.45
1,2002-06-17,80,8,8,10,10,10,10,0.53
3,2007-04-15,67,7,7,7,9,8,7,0.11
88,2/14/17,87,9,9,9,9,9,9,5.03
2,2007-04-16,90,9,9,9,10,8,9,1.4
5,2008-01-16,100,10,10,10,10,9,10,5
31,5/30/16,89,9,9,9,9,9,9,1.57
16,12/27/15,89,9,10,9,9,10,9,0.7
2,4/28/16,80,9,9,9,9,8,8,0.58
24,7/17/16,93,9,9,10,10,10,10,1.95
1,10/31/15,100,8,10,10,10,10,10,0.11
37,7/22/16,86,9,9,9,9,9,9,1.88
12,2008-03-16,98,10,10,10,10,10,10,5
8,7/31/16,83,9,8,8,8,9,9,1.36
31,7/30/16,88,9,9,9,9,9,9,3.1
35,2006-01-16,90,9,9,9,9,10,9,1.33
1,7/24/16,100,10,10,10,10,10,10,1
9,2/20/17,87,9,9,10,10,10,9,6.75
18,5/25/16,79,8,8,9,8,10,8,1.11
34,7/25/16,85,9,9,9,9,10,9,2.56
3,2008-06-16,87,9,9,9,9,9,9,0.15
10,2/21/17,68,7,7,7,9,9,7,0.89
2,5/26/16,100,9,10,10,9,9,10,0.56
1,2001-01-17,80,6,6,6,8,8,6,0.32
2,2005-01-16,100,10,10,10,9,10,10,0.27
2,2005-04-16,50,8,6,9,8,7,6,0.27
2,2001-02-16,70,5,7,7,7,8,7,0.19
80,2008-01-16,79,8,8,9,9,9,8,3.21
6,6/30/16,67,6,7,9,8,10,7,1.62
2,2004-04-16,80,8,10,10,10,10,8,0.21
9,5/15/16,93,10,10,10,10,10,10,0.77
10,6/13/16,68,8,8,7,7,10,8,0.46
1,2004-06-16,100,10,10,10,10,10,10,0.24
44,2/14/17,99,10,10,10,10,9,10,1.34
2,2012-01-15,80,9,9,10,10,10,9,0.11
21,2005-04-16,88,9,10,9,9,10,9,1.67
5,2002-12-16,72,8,8,8,8,8,7,0.24
4,10/29/15,85,9,9,10,9,10,7,0.18
6,6/19/15,70,9,9,8,9,10,7,0.37
17,12/23/15,88,9,9,9,9,9,9,0.5
33,2007-11-16,93,9,9,9,9,10,9,2.96
11,2002-08-16,85,9,9,9,10,9,9,1.06
3,2003-09-17,100,10,10,10,10,10,10,0.43
2,2005-04-16,100,10,10,10,10,10,10,0.54
32,2004-07-16,93,10,10,10,10,10,10,2.21
12,7/26/16,92,10,10,10,10,10,9,1.9
2,2006-12-16,60,5,5,8,7,9,6,0.61
1,2005-02-16,100,10,8,10,10,10,8,0.31
42,7/18/16,89,9,9,9,10,10,9,3.34
22,6/20/16,89,10,9,9,9,9,9,0.99
46,7/17/16,88,9,9,9,9,10,9,4.04
4,8/21/16,80,9,7,9,8,8,8,0.49
1,2/14/16,100,10,10,10,10,10,10,0.08
11,8/30/16,88,9,10,9,10,8,9,1.41
4,2001-05-16,70,9,8,10,10,9,8,0.21
20,7/14/16,88,9,9,9,9,10,9,2.19
8,4/24/16,83,8,8,9,9,9,9,0.68
4,6/20/16,75,8,8,8,9,9,8,0.74
9,2/13/16,74,7,8,9,9,10,8,0.69
20,7/24/16,92,10,9,9,9,10,9,1.9
12,12/30/15,90,9,9,9,9,9,9,0.45
16,2008-04-16,95,10,10,10,10,9,9,1.38
131,7/19/16,87,9,9,9,9,9,9,5.07
8,2010-12-15,75,7,7,9,8,9,8,0.45
9,2012-02-15,80,8,8,9,9,9,8,0.37
19,7/18/16,88,9,9,9,9,9,9,1.68
23,2001-03-17,95,10,10,10,10,9,9,1.26
1,2007-06-16,80,8,6,10,10,10,10,0.91
2,2010-09-16,100,10,8,10,10,10,8,0.29
2,2012-05-15,90,9,10,10,10,9,9,0.22
2002-11-16,93,9,9,9,10,10,9,0.34,
3,7/22/16,100,8,10,10,10,10,10,1.27
1,2005-01-16,80,8,8,8,10,8,8,0.3
1,2005-01-16,60,6,8,10,6,6,8,0.3
8,4/15/16,75,8,7,8,9,9,8,0.71
1,2010-04-15,80,8,6,10,10,10,8,0.1
18,2/14/17,93,10,10,10,10,10,10,1.67
19,1/20/17,92,9,9,9,9,9,9,1.78
1,11/25/16,100,10,10,10,10,10,10,0.3
11,2/26/17,78,9,6,10,9,9,9,3.71
33,7/30/16,90,9,9,9,9,10,9,2.82
9,2002-10-16,82,8,9,9,8,9,8,0.89
3,6/23/16,67,7,7,7,9,10,6,0.37
10,7/20/16,94,10,9,10,10,10,9,0.66
27,7/20/16,93,10,10,10,10,10,9,2.59
1,2/21/16,60,10,4,10,10,6,4,0.18
2,2001-02-16,80,9,9,7,8,10,8,0.27
1,12/23/15,80,10,8,10,10,10,8,0.13
4,5/22/16,100,10,10,10,10,10,10,0.6
18,4/18/16,70,7,7,7,7,8,7,1.38
1,2002-12-16,100,10,10,10,10,10,10,0.17
3,2002-12-16,73,9,9,8,8,9,6,0.3
5,4/18/16,76,7,8,8,6,8,8,0.8
50,7/23/16,92,9,9,10,10,10,9,4.04
31,7/27/16,86,8,9,9,9,9,9,2.77
4,2011-11-15,55,5,7,7,8,7,6,0.39
7,2005-07-16,74,8,9,8,9,9,9,1.3
44,2008-03-16,96,10,10,10,10,10,10,6
9,7/14/16,87,10,9,10,10,10,9,1.66
34,3/30/17,84,9,8,9,9,9,9,3.01
1,2005-06-16,60,6,10,8,6,10,6,0.32
1,2/13/16,40,2,6,6,2,10,4,0.17
1,7/24/16,100,10,10,10,10,10,10,1
22,7/24/16,91,9,9,10,10,10,9,1.81
2,3/23/16,80,7,8,8,9,10,8,0.38
66,7/19/16,89,9,9,10,9,10,9,5.14
51,2008-05-16,90,9,9,9,10,10,9,2.6
2,2004-06-16,70,7,7,8,7,9,9,0.16
5,2/13/16,100,10,10,10,10,10,10,0.45
3,2002-10-15,100,8,10,8,10,4,10,0.14
10,7/14/16,100,10,10,10,10,9,10,1.37
6,2005-07-16,90,10,8,9,10,9,9,1.13
1,2005-02-16,100,10,10,10,10,10,10,0.31
39,2007-11-16,90,9,9,9,9,10,9,2.47
2,2005-05-15,100,10,10,10,10,10,10,0.13
3,2005-07-16,87,9,9,9,9,10,9,0.41
6,4/26/16,90,9,9,9,9,10,9,0.59
7,7/16/16,77,8,8,9,8,8,8,0.99
9,10/30/15,91,8,9,10,10,9,8,0.23
17,10/15/16,92,9,10,9,10,9,9,1.69
34,1/28/17,87,9,9,9,9,10,9,3.29
4,2005-01-16,100,10,10,10,10,10,9,0.55
27,7/21/16,93,9,9,9,10,10,9,2.31
7,7/23/16,89,9,9,10,10,10,9,3.75
8,2005-08-16,90,9,9,10,10,10,9,0.9
1,3/16/16,100,10,8,10,8,10,10,0.21
22,7/30/16,95,10,9,10,10,10,10,3.75
1,2005-02-16,80,4,6,8,8,10,8,0.31
1,2005-12-16,100,10,10,10,10,10,10,0.34
57,7/16/16,86,9,9,9,9,9,9,2.93
59,7/23/16,83,9,9,9,9,9,9,3.02
36,7/21/16,87,9,9,9,9,9,9,1.92
23,6/20/16,84,9,9,9,9,9,9,1.19
35,2005-02-16,75,8,8,7,8,9,8,1.39
39,2007-03-16,81,9,8,9,9,9,9,2
44,7/16/16,80,9,9,9,9,9,9,2.39
42,6/26/16,84,9,9,9,9,9,9,2.14
14,2/14/16,92,9,10,9,9,9,9,0.57
3,2003-08-15,60,9,7,8,9,9,7,0.14
1,1/18/17,100,10,10,10,10,10,10,0.39
1,2005-01-16,80,10,10,10,10,10,10,0.3
8,2004-12-16,83,9,9,9,9,8,8,0.59
6,3/22/16,97,8,9,8,9,10,10,0.66
12,6/28/16,87,9,8,9,10,10,10,2.9
27,5/16/16,76,8,9,9,9,9,8,1.78
13,2008-02-16,86,9,9,9,9,10,8,1.43
55,7/17/16,80,8,8,9,9,9,9,4
2,2001-05-16,90,8,9,9,9,9,9,0.19
79,4/20/17,87,10,10,9,9,8,9,2.18
1,7/23/16,60,6,6,6,6,8,6,1
1,2002-12-16,100,8,8,10,10,10,8,0.17
1,1/17/16,100,10,8,10,10,10,10,0.15
27,2011-03-15,89,10,10,9,9,9,9,2.1
2004-09-16,96,10,10,10,10,10,10,0.69,
23,7/27/16,79,9,9,9,9,8,9,1.91
3,8/21/16,60,7,7,8,9,10,8,0.27
6,2002-04-17,100,10,10,10,10,10,10,1.1
6,2009-07-15,100,10,10,10,10,10,10,0.34
3,4/13/16,80,9,9,8,10,10,9,0.4
3,2007-12-16,67,8,9,7,7,9,9,2.05
1,2006-11-16,80,10,10,10,10,10,10,0.52
4,9/18/17,95,10,10,9,9,9,10,0.95
1,2007-06-16,80,8,8,8,8,10,8,0.91
2,4/26/16,100,9,10,9,10,8,10,0.32
7,6/30/16,80,8,9,9,9,9,8,1.01
2,7/20/16,100,10,10,10,10,10,10,0.61
5,2011-08-15,44,4,6,7,8,9,5,0.41
44,7/25/16,87,9,9,9,8,9,9,3.46
30,7/20/16,75,8,9,9,8,9,9,3.24
29,2006-01-16,85,9,9,9,9,9,8,2.7
2,2001-05-16,100,10,10,10,10,10,10,0.27
20,2008-02-16,78,8,9,8,9,8,8,2.39
23,2007-02-16,93,10,10,10,9,10,9,2.89
1,3/18/17,100,10,10,10,10,10,10,1
1,2007-04-16,100,8,8,10,10,8,8,0.09
1,2004-12-17,100,10,8,10,10,10,10,0.57
2,2001-03-16,100,10,9,9,10,9,10,0.11
21,7/25/16,85,8,9,9,9,9,8,2.06
2,2006-06-16,100,10,10,10,10,10,10,0.6
13,4/15/17,89,9,9,10,10,10,10,2.77
56,9/14/17,99,10,10,10,10,9,10,9.66
1,7/22/17,80,,4,,,,,0.51
19,2007-05-16,82,7,8,9,9,9,8,1.18
11,7/30/16,85,9,9,9,9,10,9,1.02
1,8/24/15,100,10,10,10,10,10,10,0.09
11,7/23/16,93,9,9,10,10,10,9,0.96
14,2007-02-16,67,7,7,8,8,9,6,1.74
4,7/16/16,90,9,9,9,9,10,9,0.52
4,2005-08-16,85,9,9,9,9,9,9,0.38
24,6/27/16,80,9,8,9,9,9,9,3.27
3,5/23/16,80,,,,,,,0.43
23,7/18/16,69,7,7,8,7,8,7,2.41
4,2008-02-16,85,10,10,10,10,10,9,0.9
2,7/19/16,80,10,9,10,10,10,10,1.36
26,7/29/16,95,9,10,10,10,10,9,4.17
9,7/25/16,91,9,9,9,9,10,9,0.99
3,2007-12-16,73,7,8,7,9,10,8,1.55
2,2005-03-16,100,10,10,10,10,10,10,0.61
8,2010-02-16,69,8,7,9,9,9,7,0.4
2,3/16/17,100,10,10,10,10,9,9,1.3
2,7/15/16,100,10,10,10,10,10,10,2
1,2/23/15,80,8,10,10,8,10,10,0.06
1,1/20/17,100,10,10,10,10,10,10,0.41
1,4/27/15,100,10,10,10,10,10,10,0.06
1,7/27/16,80,10,8,10,10,10,8,1
11,2004-03-17,80,8,8,9,10,9,9,0.6
6,7/18/16,90,9,9,10,10,10,9,0.6
1,2005-02-16,100,10,10,10,10,10,10,0.31
15,2006-10-16,69,7,7,7,8,8,7,1.45
6,2006-11-15,93,9,10,9,10,10,9,0.25
4,7/31/16,100,10,10,10,10,10,9,1
3,7/29/16,100,10,10,10,10,10,10,0.7
94,9/25/17,92,9,9,10,10,9,9,5.22
11,2009-01-16,89,10,9,9,9,9,9,0.29
1,2004-01-17,100,10,10,10,10,10,10,1
2,2/15/16,100,10,9,10,10,10,9,0.31
1,7/23/17,100,10,10,10,10,10,10,0.52
22,2005-07-17,97,10,10,10,9,10,10,2.28
2,2/17/16,100,10,10,9,10,10,10,0.33
7,3/15/15,94,9,9,10,9,9,9,0.27
42,6/28/16,92,9,10,9,10,9,9,2.73
6,3/27/17,97,10,10,10,10,10,10,6
5,3/23/16,88,9,10,10,10,10,9,0.2
28,8/25/17,97,10,10,10,10,9,10,2.99
1,11/23/14,80,6,10,8,10,10,10,0.03
38,12/28/16,95,10,9,9,10,10,9,1.11
4,2008-01-16,73,9,7,9,9,9,7,0.45
4,2004-05-16,90,9,10,10,10,10,10,0.31
25,7/24/16,78,8,8,9,9,9,8,1.79
8,7/17/16,80,9,9,9,10,10,9,0.88
1,2001-05-16,80,6,6,6,6,6,6,0.14
5,6/15/16,100,10,10,10,10,10,10,0.24
11,7/31/16,98,10,10,9,10,10,9,2.31
4,4/30/16,75,7,8,7,8,10,8,0.86
1,2005-02-16,80,10,10,8,8,10,8,0.31
1,2001-09-16,100,8,10,8,10,10,8,0.14
1,5/18/16,80,10,6,10,10,10,10,0.37
5,7/13/16,96,9,10,10,10,10,10,0.76
1,7/23/16,100,10,10,10,10,10,10,0.11
1,12/26/16,100,10,10,10,10,10,10,0.23
4,2003-10-17,100,10,10,10,10,10,9,1.5
118,7/25/16,95,9,10,10,10,9,9,2.09
8,10/25/16,90,9,9,10,10,9,9,0.22
29,7/28/16,80,8,9,8,8,9,8,2.46
6,7/18/16,70,7,9,8,8,8,7,0.66
2,7/25/16,100,10,10,10,10,10,10,2
1,12/25/15,100,10,10,10,10,10,10,0.13
1,2005-04-16,80,10,8,10,10,10,10,0.31
2,2009-04-16,100,10,10,10,10,10,10,0.06
5,2009-11-15,80,8,9,9,8,8,9,0.27
2,2001-03-16,100,10,10,10,10,10,9,0.27
4,8/28/15,70,8,8,8,8,9,7,0.16
2,1/26/16,80,10,10,6,10,10,10,0.3
4,2005-07-17,100,10,9,10,10,10,10,4
7,2006-12-16,73,7,9,8,8,8,7,1
65,2008-02-16,87,9,9,9,8,10,9,4.76
1,1/18/16,100,10,10,10,10,10,8,0.15
22,7/29/16,88,9,9,9,9,9,9,3.35
1,11/17/15,100,10,10,10,10,10,10,0.11
39,2009-10-17,92,9,9,10,10,8,9,1.52
7,2006-02-17,97,10,10,10,10,9,10,0.44
5,2001-05-17,75,8,9,8,9,9,7,0.61
2,7/20/16,100,10,10,8,10,10,10,0.19
31,7/23/16,90,9,10,9,9,9,9,3.94
6,2/29/16,63,8,8,6,7,7,7,0.82
11,2005-02-16,98,9,9,10,10,10,10,1.06
1,7/27/16,100,10,10,10,10,10,10,1
32,3/27/16,83,8,8,9,9,9,9,2.3
2,2001-12-16,90,9,9,9,9,10,10,0.28
53,2005-08-16,91,9,9,10,10,10,9,1.8
1,2007-03-16,100,10,10,10,10,10,10,0.83
1,5/16/17,100,10,8,10,6,8,10,0.86
4,2003-02-17,93,9,10,10,9,10,9,0.62
5,2008-04-16,90,9,10,10,10,9,10,0.59
13,4/28/16,82,9,9,10,10,9,8,1.15
20,2008-01-16,81,9,9,9,9,9,9,1.83
26,5/23/16,73,7,8,9,9,8,8,1.99
15,6/18/16,77,8,8,8,9,7,8,1.13
8,5/16/16,60,7,7,7,7,8,7,0.6
1,2001-09-17,80,8,8,10,10,10,8,0.54
11,2005-08-16,84,9,8,9,10,9,9,0.6
80,2008-05-16,91,10,10,10,10,9,9,3.34
76,2008-05-16,94,9,10,10,10,10,9,3.22
100,2008-02-16,91,9,10,10,10,9,9,4.2
1,7/18/16,80,10,8,10,10,10,8,1
4,2001-05-16,95,10,9,9,8,10,9,0.28
5,2007-05-15,92,10,9,10,10,10,9,0.5
10,8/15/17,96,10,10,10,10,10,10,0.29
15,7/21/16,97,9,10,10,10,10,10,0.7
5,11/28/15,72,7,7,7,6,9,9,0.49
37,7/19/16,91,9,9,9,10,10,9,3
15,7/23/17,96,10,10,10,10,10,10,2.9
2,1/29/17,80,8,7,9,8,9,8,0.98
11,2003-11-16,69,7,7,8,7,8,7,0.84
11,2004-12-16,78,8,8,8,7,9,9,0.96
2,2004-10-15,80,8,8,8,9,10,7,0.11
28,2006-10-16,79,9,8,9,9,9,8,1.42
11,2004-09-16,86,8,10,10,8,8,9,5.5
1,2009-10-15,80,8,10,10,10,10,10,0.06
10,2004-05-16,62,6,6,7,8,7,7,0.81
13,2004-11-16,85,8,9,9,9,9,8,0.8
17,5/22/16,79,8,8,8,8,9,8,1.45
55,6/24/16,91,9,9,9,9,9,9,2.79
45,2007-06-16,89,9,9,9,9,9,9,2.21
36,6/23/16,82,9,8,9,9,9,9,1.85
16,2004-07-16,79,8,7,9,9,10,8,4.66
63,2003-05-17,98,10,10,10,10,9,10,4.46
2,4/20/16,60,5,6,5,5,9,7,0.5
8,2/20/16,88,9,8,9,10,10,9,0.41
8,2008-01-16,88,10,9,10,10,10,10,0.78
34,7/18/16,84,9,9,9,9,10,9,2
2,12/14/15,50,5,5,6,6,6,6,0.23
7,7/19/16,69,7,7,8,8,9,7,0.66
2,2011-02-15,50,2,4,4,4,8,5,0.18
2,3/23/17,90,10,9,10,8,9,10,1.18
11,6/13/16,95,10,10,10,10,9,9,0.57
5,4/15/17,96,9,9,10,10,9,10,0.85
12,4/26/17,95,10,10,9,9,10,10,3.03
37,7/15/16,83,9,9,9,9,9,9,1.92
23,6/14/16,72,8,7,9,8,9,8,1.67
58,7/23/16,89,9,9,9,9,10,9,3.44
12,4/16/16,85,9,9,9,9,10,8,1.11
18,6/26/16,93,9,9,9,9,9,9,0.88
3,3/31/16,73,9,10,8,10,8,9,0.25
1,3/28/17,100,8,8,8,6,8,6,0.81
6,2005-01-16,83,8,9,9,9,8,9,0.8
4,7/30/16,85,10,9,8,8,9,9,0.22
3,3/30/17,100,10,10,10,10,10,10,3
11,3/15/16,82,9,9,9,10,9,9,1.31
1,4/16/17,80,6,6,8,8,8,8,1
33,2003-03-17,84,8,8,9,9,9,9,1.08
21,7/18/16,94,10,9,10,10,10,10,1.39
17,2003-12-16,74,7,8,8,8,8,7,1.48
22,5/21/16,81,8,9,9,9,9,8,1.13
22,6/26/16,85,9,9,9,9,9,9,1.33
11,2005-01-16,67,8,7,7,7,9,8,0.82
36,6/30/16,82,8,8,9,9,9,8,1.83
11,4/30/16,82,8,8,9,10,9,8,0.61
6,2001-02-16,53,6,5,8,5,8,7,0.56
9,2007-03-16,82,9,8,8,8,9,8,0.58
2,7/14/16,70,6,6,6,4,8,2,0.71
2,2005-04-16,80,10,9,9,9,8,9,0.59
2,2002-09-17,100,8,8,10,10,10,10,0.59
1,4/23/17,100,10,10,8,2,10,10,1
3,2004-09-17,100,10,10,10,10,10,10,0.41
10,7/24/16,92,10,10,10,10,10,9,0.79
24,4/14/16,80,9,8,9,9,9,8,1.23
44,2007-05-16,97,10,10,10,10,10,10,2.23
3,6/18/17,73,10,8,10,9,9,8,0.65
6,2007-03-16,76,8,7,8,8,9,9,0.56
3,2002-10-16,53,6,5,8,9,8,7,0.14
3,2005-02-16,93,9,10,10,10,10,10,0.42
3,12/27/15,60,9,7,10,7,9,6,0.35
2,12/29/16,60,5,4,8,9,8,5,0.78
118,2008-03-16,95,10,10,10,10,9,9,11.53
73,7/18/16,92,9,9,9,9,9,9,3.76
29,2007-05-16,90,9,9,9,9,10,9,1.43
4,4/18/16,90,8,9,9,9,10,9,0.39
34,2008-02-16,94,10,9,9,9,10,9,1.79
20,6/21/15,84,9,9,10,10,9,9,0.97
1,6/15/16,100,10,10,10,10,10,10,0.56
43,9/30/16,88,9,8,9,10,9,9,2.45
2,2004-03-17,90,10,10,10,10,9,10,0.33
4,11/30/16,90,10,9,9,10,9,9,0.34
27,4/30/17,90,9,9,10,10,10,9,3.02
4,9/15/16,95,9,9,10,10,10,9,0.2
69,4/26/17,96,10,9,10,10,10,10,3.68
8,4/18/17,90,9,10,9,9,7,9,1.08
20,2005-02-17,96,10,10,10,10,9,9,1.95
23,12/22/16,89,10,10,10,9,9,9,1.31
46,4/30/17,96,10,10,10,10,10,10,3.83
11,2005-06-17,96,10,10,10,10,10,10,3.2
50,2005-07-17,94,10,10,10,10,10,9,4.9
65,4/26/17,98,10,10,10,10,10,10,4.58
3,10/27/16,87,10,9,10,10,10,9,0.2
7,9/30/15,80,10,10,10,10,8,8,0.1
7,2001-10-17,97,10,10,10,10,10,10,0.65
6,2004-09-17,97,10,10,10,10,9,10,0.65
4,4/14/17,90,10,9,10,10,9,10,0.43
2,2005-08-16,100,10,10,10,10,8,10,0.1
1,2008-07-15,100,10,10,10,10,8,10,0.05
4,4/30/17,95,10,9,10,10,9,10,0.3
